iter	Logloss
0	0.6620963731
1	0.6333577396
2	0.6119928578
3	0.5906309604
4	0.5726907325
5	0.5536000525
6	0.5355467346
7	0.5176388384
8	0.5030768605
9	0.4879853627
10	0.4780506683
11	0.4664802406
12	0.4546662648
13	0.4444078401
14	0.4361117928
15	0.4286422163
16	0.4244050215
17	0.4158147917
18	0.407634654
19	0.4001058442
20	0.3920448137
21	0.3870395549
22	0.3806074372
23	0.3748562664
24	0.3698260978
25	0.3647738857
26	0.3599745458
27	0.3560148465
28	0.3525937141
29	0.3490764479
30	0.3447136056
31	0.3393892915
32	0.334472628
33	0.3291717211
34	0.3240705304
35	0.3179228391
36	0.3144021898
37	0.3098384691
38	0.3070136
39	0.3037033668
40	0.3014315127
41	0.2975776067
42	0.2945889013
43	0.2913634523
44	0.2887070128
45	0.2841725892
46	0.2817562827
47	0.2792796582
48	0.2775975023
49	0.2734642499
50	0.2721505698
51	0.2705287633
52	0.2674278732
53	0.2650754958
54	0.2627411979
55	0.2588723842
56	0.2563546925
57	0.2547144156
58	0.251918174
59	0.2503843624
60	0.2460558149
61	0.2442148997
62	0.2427165238
63	0.2405811624
64	0.2378107491
65	0.2354333705
66	0.2334054514
67	0.2307231163
68	0.2283823172
69	0.2268481276
70	0.2253297273
71	0.2222511589
72	0.2194629861
73	0.216823001
74	0.2153185334
75	0.2127961461
76	0.2116028801
77	0.2089058954
78	0.2068726852
79	0.2051176168
80	0.203647741
81	0.2019841717
82	0.1998921745
83	0.1978257115
84	0.1953262232
85	0.1944993446
86	0.1935350808
87	0.191887938
88	0.1904707986
89	0.1894440454
90	0.188047958
91	0.1862110034
92	0.1849978813
93	0.1830927426
94	0.1811848315
95	0.1796989813
96	0.1787068798
97	0.1774150946
98	0.1762650211
99	0.1752109058
100	0.1733006336
101	0.1722058529
102	0.1714003536
103	0.1703760524
104	0.1689915897
105	0.1683025191
106	0.167256331
107	0.1654485844
108	0.1637177047
109	0.1618250096
110	0.1607723236
111	0.1597981333
112	0.1582385628
113	0.1568728671
114	0.1556042035
115	0.1546303858
116	0.1532764726
117	0.1520393923
118	0.151093966
119	0.1499535624
120	0.1485088283
121	0.1475213531
122	0.1460469998
123	0.144674572
124	0.1431019833
125	0.1412917249
126	0.1402670359
127	0.1393763693
128	0.1383202523
129	0.1364065636
130	0.135319611
131	0.13410185
132	0.1335376779
133	0.1324703759
134	0.1313346364
135	0.1300975639
136	0.1296314115
137	0.1286209807
138	0.1277516035
139	0.1268743113
140	0.1263939629
141	0.1250611178
142	0.1234832654
143	0.1222952844
144	0.1215643381
145	0.1200663534
146	0.1182723819
147	0.1168637756
148	0.1152897378
149	0.1142539329
150	0.1131028279
151	0.1121818018
152	0.1111177758
153	0.1098339795
154	0.1093140637
155	0.1082999407
156	0.1073211432
157	0.1066807699
158	0.1053175693
159	0.104528175
160	0.1032052875
161	0.1028212519
162	0.1022048594
163	0.101489068
164	0.1005511327
165	0.09982351414
166	0.09908814814
167	0.09810029578
168	0.09736471739
169	0.09649708787
170	0.09587987648
171	0.09502613359
172	0.09454815819
173	0.09379515704
174	0.09296886723
175	0.0924483179
176	0.09153360124
177	0.09095789555
178	0.09021714599
179	0.08925979989
180	0.08876930183
181	0.08802877022
182	0.08722555891
183	0.08650159442
184	0.08611570079
185	0.08538285153
186	0.08495673596
187	0.08436776036
188	0.08373233213
189	0.08306311407
190	0.08237495637
191	0.08187095346
192	0.08127701675
193	0.08072501848
194	0.07977476426
195	0.07927752123
196	0.07890953942
197	0.07833492166
198	0.07777661344
199	0.07692199552
